kode_kabupaten,kode_provinsi,nama_kabupaten
"01","11","Kabupaten Aceh Selatan"
"02","11","Kabupaten Aceh Tenggara"
"03","11","Kabupaten Aceh Timur"
"04","11","Kabupaten Aceh Tengah"
"05","11","Kabupaten Aceh Barat"
"06","11","Kabupaten Aceh Besar"
"07","11","Kabupaten Pidie"
"08","11","Kabupaten Aceh Utara"
"09","11","Kabupaten Simeulue"
"10","11","Kabupaten Aceh Singkil"
"11","11","Kabupaten Bireuen"
"12","11","Kabupaten Aceh Barat Daya"
"13","11","Kabupaten Gayo Lues"
"14","11","Kabupaten Aceh Jaya"
"15","11","Kabupaten Nagan Raya"
"16","11","Kabupaten Aceh Tamiang"
"17","11","Kabupaten Bener Meriah"
"18","11","Kabupaten Pidie Jaya"
"71","11","Kota Banda Aceh"
"72","11","Kota Sabang"
"73","11","Kota Lhokseumawe"
"74","11","Kota Langsa"
"75","11","Kota Subulussalam"
"01","12","Kabupaten Tapanuli Tengah"
"02","12","Kabupaten Tapanuli Utara"
"03","12","Kabupaten Tapanuli Selatan"
"04","12","Kabupaten Nias"
"05","12","Kabupaten Langkat"
"06","12","Kabupaten Karo"
"07","12","Kabupaten Deli Serdang"
"08","12","Kabupaten Simalungun"
"09","12","Kabupaten Asahan"
"10","12","Kabupaten Labuhanbatu"
"11","12","Kabupaten Dairi"
"12","12","Kabupaten Toba"
"13","12","Kabupaten Mandailing Natal"
"14","12","Kabupaten Nias Selatan"
"15","12","Kabupaten Pakpak Bharat"
"16","12","Kabupaten Humbang Hasundutan"
"17","12","Kabupaten Samosir"
"18","12","Kabupaten Serdang Bedagai"
"19","12","Kabupaten Batu Bara"
"20","12","Kabupaten Padang Lawas Utara"
"21","12","Kabupaten Padang Lawas"
"22","12","Kabupaten Labuhanbatu Selatan"
"23","12","Kabupaten Labuhanbatu Utara"
"24","12","Kabupaten Nias Utara"
"25","12","Kabupaten Nias Barat"
"71","12","Kota Medan"
"72","12","Kota Pematangsiantar"
"73","12","Kota Sibolga"
"74","12","Kota Tanjungbalai"
"75","12","Kota Binjai"
"76","12","Kota Tebing Tinggi"
"77","12","Kota Padangsidimpuan"
"78","12","Kota Gunungsitoli"
"01","13","Kabupaten Pesisir Selatan"
"02","13","Kabupaten Solok"
"03","13","Kabupaten Sijunjung"
"04","13","Kabupaten Tanah Datar"
"05","13","Kabupaten Padang Pariaman"
"06","13","Kabupaten Agam"
"07","13","Kabupaten Lima Puluh Kota"
"08","13","Kabupaten Pasaman"
"09","13","Kabupaten Kepulauan Mentawai"
"10","13","Kabupaten Dharmasraya"
"11","13","Kabupaten Solok Selatan"
"12","13","Kabupaten Pasaman Barat"
"71","13","Kota Padang"
"72","13","Kota Solok"
"73","13","Kota Sawahlunto"
"74","13","Kota Padang Panjang"
"75","13","Kota Bukittinggi"
"76","13","Kota Payakumbuh"
"77","13","Kota Pariaman"
"01","14","Kabupaten Kampar"
"02","14","Kabupaten Indragiri Hulu"
"03","14","Kabupaten Bengkalis"
"04","14","Kabupaten Indragiri Hilir"
"05","14","Kabupaten Pelalawan"
"06","14","Kabupaten Rokan Hulu"
"07","14","Kabupaten Rokan Hilir"
"08","14","Kabupaten Siak"
"09","14","Kabupaten Kuantan Singingi"
"10","14","Kabupaten Kepulauan Meranti"
"71","14","Kota Pekanbaru"
"72","14","Kota Dumai"
"01","15","Kabupaten Kerinci"
"02","15","Kabupaten Merangin"
"03","15","Kabupaten Sarolangun"
"04","15","Kabupaten Batanghari"
"05","15","Kabupaten Muaro Jambi"
"06","15","Kabupaten Tanjung Jabung Barat"
"07","15","Kabupaten Tanjung Jabung Timur"
"08","15","Kabupaten Bungo"
"09","15","Kabupaten Tebo"
"71","15","Kota Jambi"
"72","15","Kota Sungai Penuh"
"01","16","Kabupaten Ogan Komering Ulu"
"02","16","Kabupaten Ogan Komering Ilir"
"03","16","Kabupaten Muara Enim"
"04","16","Kabupaten Lahat"
"05","16","Kabupaten Musi Rawas"
"06","16","Kabupaten Musi Banyuasin"
"07","16","Kabupaten Banyuasin"
"08","16","Kabupaten Ogan Komering Ulu Timur"
"09","16","Kabupaten Ogan Komering Ulu Selatan"
"10","16","Kabupaten Ogan Ilir"
"11","16","Kabupaten Empat Lawang"
"12","16","Kabupaten Penukal Abab Lematang Ilir"
"13","16","Kabupaten Musi Rawas Utara"
"71","16","Kota Palembang"
"72","16","Kota Pagar Alam"
"73","16","Kota Lubuk Linggau"
"74","16","Kota Prabumulih"
"01","17","Kabupaten Bengkulu Selatan"
"02","17","Kabupaten Rejang Lebong"
"03","17","Kabupaten Bengkulu Utara"
"04","17","Kabupaten Kaur"
"05","17","Kabupaten Seluma"
"06","17","Kabupaten Mukomuko"
"07","17","Kabupaten Lebong"
"08","17","Kabupaten Kepahiang"
"09","17","Kabupaten Bengkulu Tengah"
"71","17","Kota Bengkulu"
"01","18","Kabupaten Lampung Selatan"
"02","18","Kabupaten Lampung Tengah"
"03","18","Kabupaten Lampung Utara"
"04","18","Kabupaten Lampung Barat"
"05","18","Kabupaten Tulang Bawang"
"06","18","Kabupaten Tanggamus"
"07","18","Kabupaten Lampung Timur"
"08","18","Kabupaten Way Kanan"
"09","18","Kabupaten Pesawaran"
"10","18","Kabupaten Pringsewu"
"11","18","Kabupaten Mesuji"
"12","18","Kabupaten Tulang Bawang Barat"
"13","18","Kabupaten Pesisir Barat"
"71","18","Kota Bandar Lampung"
"72","18","Kota Metro"
"01","19","Kabupaten Bangka"
"02","19","Kabupaten Belitung"
"03","19","Kabupaten Bangka Selatan"
"04","19","Kabupaten Bangka Tengah"
"05","19","Kabupaten Bangka Barat"
"06","19","Kabupaten Belitung Timur"
"71","19","Kota Pangkal Pinang"
"01","21","Kabupaten Bintan"
"02","21","Kabupaten Karimun"
"03","21","Kabupaten Natuna"
"04","21","Kabupaten Lingga"
"05","21","Kabupaten Kepulauan Anambas"
"71","21","Kota Batam"
"72","21","Kota Tanjung Pinang"
"01","31","Kabupaten Administrasi Kepulauan Seribu"
"71","31","Kota Administrasi Jakarta Pusat"
"72","31","Kota Administrasi Jakarta Utara "
"73","31","Kota Administrasi Jakarta Barat"
"74","31","Kota Administrasi Jakarta Selatan"
"75","31","Kota Administrasi Jakarta Timur"
"01","32","Kabupaten Bogor"
"02","32","Kabupaten Sukabumi"
"03","32","Kabupaten Cianjur"
"04","32","Kabupaten Bandung"
"05","32","Kabupaten Garut"
"06","32","Kabupaten Tasikmalaya"
"07","32","Kabupaten Ciamis"
"08","32","Kabupaten Kuningan"
"09","32","Kabupaten Cirebon"
"10","32","Kabupaten Majalengka"
"11","32","Kabupaten Sumedang"
"12","32","Kabupaten Indramayu"
"13","32","Kabupaten Subang"
"14","32","Kabupaten Purwakarta"
"15","32","Kabupaten Karawang"
"16","32","Kabupaten Bekasi"
"17","32","Kabupaten Bandung Barat"
"18","32","Kabupaten Pangandaran"
"71","32","Kota Bogor"
"72","32","Kota Sukabumi"
"73","32","Kota Bandung"
"74","32","Kota Cirebon"
"75","32","Kota Bekasi"
"76","32","Kota Depok"
"77","32","Kota Cimahi"
"78","32","Kota Tasikmalaya"
"79","32","Kota Banjar"
"01","33","Kabupaten Cilacap"
"02","33","Kabupaten Banyumas"
"03","33","Kabupaten Purbalingga"
"04","33","Kabupaten Banjarnegara"
"05","33","Kabupaten Kebumen"
"06","33","Kabupaten Purworejo"
"07","33","Kabupaten Wonosobo"
"08","33","Kabupaten Magelang"
"09","33","Kabupaten Boyolali"
"10","33","Kabupaten Klaten"
"11","33","Kabupaten Sukoharjo"
"12","33","Kabupaten Wonogiri"
"13","33","Kabupaten Karanganyar"
"14","33","Kabupaten Sragen"
"15","33","Kabupaten Grobogan"
"16","33","Kabupaten Blora"
"17","33","Kabupaten Rembang"
"18","33","Kabupaten Pati"
"19","33","Kabupaten Kudus"
"20","33","Kabupaten Jepara"
"21","33","Kabupaten Demak"
"22","33","Kabupaten Semarang"
