kode_kecamatan,kode_provinsi,kode_kabupaten,nama_kecamatan
"01","11","01","Bakongan"
"02","11","01","Kluet Utara"
"03","11","01","Kluet Selatan"
"04","11","01","Labuhanhaji"
"05","11","01","Meukek"
"06","11","01","Samadua"
"07","11","01","Sawang"
"08","11","01","Tapaktuan"
"09","11","01","Trumon"
"10","11","01","Pasie Raja"
"11","11","01","Labuhanhaji Timur"
"12","11","01","Labuhanhaji Barat"
"13","11","01","Kluet Tengah"
"14","11","01","Kluet Timur"
"15","11","01","Bakongan Timur"
"16","11","01","Trumon Timur"
"17","11","01","Kota Bahagia"
"18","11","01","Trumon Tengah"
"01","11","02","Lawe Alas"
"02","11","02","Lawe Sigala-Gala"
"03","11","02","Bambel"
"04","11","02","Babussalam"
"05","11","02","Badar"
"06","11","02","Babul Makmur"
"07","11","02","Darul Hasanah"
"08","11","02","Lawe Bulan"
"09","11","02","Bukit Tusam"
"10","11","02","Semadam"
"11","11","02","Babul Rahmah"
"12","11","02","Ketambe"
"13","11","02","Deleng Pokhkisen"
"14","11","02","Lawe Sumur"
"15","11","02","Tanoh Alas"
"16","11","02","Leuser"
"01","11","03","Darul Aman"
"02","11","03","Julok"
"03","11","03","Idi Rayeuk"
"04","11","03","Birem Bayeun"
"05","11","03","Serbajadi"
"06","11","03","Nurussalam"
"07","11","03","Peureulak"
"08","11","03","Rantau Selamat"
"09","11","03","Simpang Ulim"
"10","11","03","Ranto Peureulak"
"11","11","03","Pante Bidari"
"12","11","03","Madat"
"13","11","03","Indra Makmu"
"14","11","03","Idi Tunong"
"15","11","03","Banda Alam"
"16","11","03","Peudawa"
"17","11","03","Peureulak Timur"
"18","11","03","Peureulak Barat"
"19","11","03","Sungai Raya"
"20","11","03","Simpang Jernih"
"21","11","03","Darul Ihsan"
"22","11","03","Darul Falah"
"23","11","03","Idi Timur"
"24","11","03","Peunaron"
"01","11","04","Linge"
"02","11","04","Silih Nara"
"03","11","04","Bebesen"
"07","11","04","Pegasing"
"08","11","04","Bintang"
"10","11","04","Ketol"
"11","11","04","Kebayakan"
"12","11","04","Kute Panang"
"13","11","04","Celala"
"17","11","04","Laut Tawar"
"18","11","04","Atu Lintang"
"19","11","04","Jagong Jeget"
"20","11","04","Bies"
"21","11","04","Rusip Antara"
"01","11","05","Johan Pahlawan"
"02","11","05","Kaway XVI"
"03","11","05","Sungai Mas"
"04","11","05","Woyla"
"05","11","05","Samatiga"
"06","11","05","Bubon"
"07","11","05","Arongan Lambalek"
"08","11","05","Pante Ceureumen"
"09","11","05","Meureubo"
"10","11","05","Woyla Barat"
"11","11","05","Woyla Timur"
"12","11","05","Panton Reu"
"01","11","06","Lhoong"
"02","11","06","Lhoknga"
"03","11","06","Indrapuri"
"04","11","06","Seulimeum"
"05","11","06","Montasik"
"06","11","06","Sukamakmur"
"07","11","06","Darul Imarah"
"08","11","06","Peukan Bada"
"09","11","06","Mesjid Raya"
"10","11","06","Ingin Jaya"
"11","11","06","Kuta Baro"
"12","11","06","Darussalam"
"13","11","06","Pulo Aceh"
"14","11","06","Lembah Seulawah"
"15","11","06","Kota Jantho"
"16","11","06","Kuta Cot Glie"
"17","11","06","Kuta Malaka"
"18","11","06","Simpang Tiga"
"19","11","06","Darul Kamal"
"20","11","06","Baitussalam"
"21","11","06","Krueng Barona Jaya"
"22","11","06","Leupung"
"23","11","06","Blang Bintang"
"03","11","07","Batee"
"04","11","07","Delima"
"05","11","07","Geumpang"
"06","11","07","Glumpang Tiga"
"07","11","07","Indrajaya"
"08","11","07","Kembang Tanjong"
"09","11","07","Kota Sigli"
"11","11","07","Mila"
"12","11","07","Muara Tiga"
"13","11","07","Mutiara"
"14","11","07","Padang Tiji"
"15","11","07","Peukan Baro"
"16","11","07","Pidie"
"17","11","07","Sakti"
"18","11","07","Simpang Tiga"
"19","11","07","Tangse"
"21","11","07","Tiro/Truseb"
"22","11","07","Keumala"
"24","11","07","Mutiara Timur"
"25","11","07","Grong-grong"
"27","11","07","Mane"
"29","11","07","Glumpang Baro"
"31","11","07","Titeue"
"01","11","08","Baktiya"
"02","11","08","Dewantara"
"03","11","08","Kuta Makmur"
"04","11","08","Lhoksukon"
"05","11","08","Matangkuli"
"06","11","08","Muara Batu"
"07","11","08","Meurah Mulia"
"08","11","08","Samudera"
"09","11","08","Seunuddon"
"10","11","08","Syamtalira Aron"
"11","11","08","Syamtalira Bayu"
"12","11","08","Tanah Luas"
"13","11","08","Tanah Pasir"
"14","11","08","Tanah Jambo Aye"
"15","11","08","Sawang"
"16","11","08","Nisam"
"17","11","08","Cot Girek"
"18","11","08","Langkahan"
"19","11","08","Baktiya Barat"
"20","11","08","Paya Bakong"
"21","11","08","Nibong"
"22","11","08","Simpang Keuramat"
"23","11","08","Lapang"
"24","11","08","Pirak Timu"
"25","11","08","Geureudong Pase"
"26","11","08","Banda Baro"
"27","11","08","Nisam Antara"
"01","11","09","Simeulue Tengah"
"02","11","09","Salang"
"03","11","09","Teupah Barat"
"04","11","09","Simeulue Timur"
"05","11","09","Teluk Dalam"
"06","11","09","Simeulue Barat"
"07","11","09","Teupah Selatan"
"08","11","09","Alafan"
"09","11","09","Teupah Tengah"
"10","11","09","Simeulue Cut"
"01","11","10","Pulau Banyak"
"02","11","10","Simpang Kanan"
"04","11","10","Singkil"
"06","11","10","Gunung Meriah"
"09","11","10","Kota Baharu"
"10","11","10","Singkil Utara"
"11","11","10","Danau Paris"
"12","11","10","Suro Makmur"
"13","11","10","Singkohor"
"14","11","10","Kuala Baru"
"16","11","10","Pulau Banyak Barat"
"01","11","11","Samalanga"
"02","11","11","Jeunieb"
"03","11","11","Peudada"
"04","11","11","Jeumpa"
"05","11","11","Peusangan"
"06","11","11","Makmur"
"07","11","11","Gandapura"
"08","11","11","Pandrah"
"09","11","11","Juli"
"10","11","11","Jangka"
"11","11","11","Simpang Mamplam"
"12","11","11","Peulimbang"
"13","11","11","Kota Juang"
"14","11","11","Kuala"
"15","11","11","Peusangan Siblah Krueng"
"16","11","11","Peusangan Selatan"
"17","11","11","Kuta Blang"
"01","11","12","Blangpidie"
"02","11","12","Tangan-Tangan"
"03","11","12","Manggeng"
"04","11","12","Susoh"
"05","11","12","Kuala Batee"
