kode_desa,kode_provinsi,kode_kabupaten,kode_kecamatan,nama_kelurahan,kode_pos
"2001","11","01","01","Keude Bakongan","23773"
"2002","11","01","01","Ujong Mangki","23773"
"2003","11","01","01","Ujong Padang","23773"
"2004","11","01","01","Gampong Drien","23773"
"2015","11","01","01","Darul Ikhsan","23773"
"2016","11","01","01","Padang Beurahan","23773"
"2017","11","01","01","Gampong Baro","23773"
"2001","11","01","02","Fajar Harapan","23771"
"2002","11","01","02","Krueng Batee","23771"
"2003","11","01","02","Pasi Kuala Asahan","23771"
"2004","11","01","02","Gunong Pulo","23771"
"2005","11","01","02","Pulo Ie I","23771"
"2006","11","01","02","Jambo Manyang","23771"
"2007","11","01","02","Simpang Empat","23771"
"2008","11","01","02","Limau Purut","23771"
"2009","11","01","02","Pulo Kambing","23771"
"2010","11","01","02","Kampung Paya","23771"
"2011","11","01","02","Krueng Batu","23771"
"2012","11","01","02","Krueng Kluet","23771"
"2013","11","01","02","Alur Mas","23771"
"2014","11","01","02","Kampung Tinggi","23771"
"2015","11","01","02","Ruak","23771"
"2016","11","01","02","Simpang Lhee","23771"
"2017","11","01","02","Suaq Geuringgeng","23771"
"2018","11","01","02","Pasi Kuala Ba'u","23771"
"2019","11","01","02","Kedai Padang","23771"
"2020","11","01","02","Kotafajar","23771"
"2021","11","01","02","Gunung Pudung","23771"
"2001","11","01","03","Suaq Bakung","23772"
"2002","11","01","03","Rantau Binuang","23772"
"2003","11","01","03","Barat Daya","23772"
"2004","11","01","03","Sialang","23772"
"2005","11","01","03","Kapeh","23772"
"2006","11","01","03","Pulo Ie","23772"
"2007","11","01","03","Kedai Runding","23772"
"2008","11","01","03","Kedai Kandang","23772"
"2009","11","01","03","Gampong Luar","23772"
"2010","11","01","03","Ujung","23772"
"2011","11","01","03","Jua","23772"
"2012","11","01","03","Pasi Meurapat","23772"
"2013","11","01","03","Ujung Pasir","23772"
"2014","11","01","03","Geulumbuk","23772"
"2015","11","01","03","Pasie Lembang","23772"
"2016","11","01","03","Ujung Padang","23772"
"2017","11","01","03","Indra Damai","23772"
"2001","11","01","04","Bakau Hulu","23761"
"2002","11","01","04","Padang Bakau","23761"
"2003","11","01","04","Manggis Harapan","23761"
"2004","11","01","04","Pasar Lama","23761"
"2005","11","01","04","Apha","23761"
"2006","11","01","04","Ujung Batu","23761"
"2007","11","01","04","Pawoh","23761"
"2008","11","01","04","Dalam","23761"
"2009","11","01","04","Kota Palak","23761"
"2010","11","01","04","Cacang","23761"
"2011","11","01","04","Tengah Pisang","23761"
"2012","11","01","04","Pisang","23761"
"2013","11","01","04","Hulu Pisang","23761"
"2014","11","01","04","Tengah Baru","23761"
"2015","11","01","04","Lembah Baru","23761"
"2016","11","01","04","Padang Baru","23761"
"2001","11","01","05","Kuta Buloh II","23754"
"2002","11","01","05","Kuta Buloh I","23754"
"2003","11","01","05","Ie Dingen","23754"
"2004","11","01","05","Drien Jalo","23754"
"2005","11","01","05","Jambo Papeun","23754"
"2006","11","01","05","Buket Meuh","23754"
"2007","11","01","05","Blang Kuala","23754"
"2008","11","01","05","Rot Teungoh","23754"
"2009","11","01","05","Alue Baro","23754"
"2010","11","01","05","Ladang Tuha","23754"
"2011","11","01","05","Lhok Mamplam","23754"
"2012","11","01","05","Arun Tunggai","23754"
"2013","11","01","05","Blang Teungoh","23754"
"2014","11","01","05","Blang Bladeh","23754"
"2015","11","01","05","Ie Buboh","23754"
"2016","11","01","05","Keude Meukek","23754"
"2017","11","01","05","Kuta Baro","23754"
"2018","11","01","05","Tanjung Harapan","23754"
"2019","11","01","05","Labuhan Tarok","23754"
"2020","11","01","05","Lhok Aman","23754"
"2021","11","01","05","Alue Meutuah","23754"
"2022","11","01","05","Ladang Baro","23754"
"2023","11","01","05","Labuhan Tarok II","23754"
"2001","11","01","06","Dalam","23752"
"2002","11","01","06","Subarang","23752"
